Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
10,North America,1 - Mayorista,A - Precio, Wholesale Price ($ per pair),48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0
10,North America,1 - Mayorista,A - Precio, Rebate Offer ($ per pair),5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
10,North America,1 - Mayorista,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,North America,1 - Mayorista,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,North America,1 - Mayorista,C - Marketing, Delivery Time (weeks),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
10,North America,1 - Mayorista,C - Marketing, Retailer Support ($ per outlet),4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0
10,North America,1 - Mayorista,C - Marketing, Retail Outlets,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
10,North America,1 - Mayorista,D - Imagen, Brand Advertising ($000s),10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10,North America,1 - Mayorista,D - Imagen, Celebrity Appeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,North America,1 - Mayorista,D - Imagen, Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
10,North America,1 - Mayorista,E - Volumen, Pairs Demanded (000s),1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0.0,0.0
10,North America,1 - Mayorista,E - Volumen,   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,North America,1 - Mayorista,E - Volumen, Pairs Sold (000s)_1 - Mayorista,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0.0,0.0
10,North America,1 - Mayorista,F - Cuota, Market Share (%)_1 - Mayorista,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,North America,2 - Internet,A - Precio, Retail Price ($ per pair),67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0
10,North America,2 - Internet,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,North America,2 - Internet,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,North America,2 - Internet,C - Marketing, Free Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,North America,2 - Internet,D - Imagen, Search Engine Advert. ($000s),5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0
10,North America,2 - Internet,D - Imagen, Brand Advertising ($000s),10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
10,North America,2 - Internet,D - Imagen, Celebrity Appeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,North America,2 - Internet,D - Imagen, Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
10,North America,2 - Internet,E - Volumen, Online Orders (000s),353.0,353.0,353.0,353.0,353.0,353.0,353.0,0.0,0.0
10,North America,2 - Internet,E - Volumen, Pairs Sold (000s)_2 - Internet,353.0,353.0,353.0,353.0,353.0,353.0,353.0,0.0,0.0
10,North America,2 - Internet,F - Cuota, Market Share (%)_2 - Internet,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,North America,3 - Privada,A - Precio, Offer Price (max = $40.00),32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0
10,North America,3 - Privada,B - Calidad, S/Q Rating (min = 3.0 stars),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
10,North America,3 - Privada,E - Volumen, Pairs Offered (000s),200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,North America,3 - Privada,E - Volumen, Pairs Sold (000s)_3 - Privada,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,North America,3 - Privada,F - Cuota, Market Share (%)_3 - Privada,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,Europe-Africa,1 - Mayorista,A - Precio, Wholesale Price ($ per pair),53.0,53.0,53.0,53.0,53.0,53.0,53.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,A - Precio, Rebate Offer ($ per pair),5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,C - Marketing, Delivery Time (weeks),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,C - Marketing, Retailer Support ($ per outlet),4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,C - Marketing, Retail Outlets,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,D - Imagen, Brand Advertising ($000s),9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,D - Imagen, Celebrity Appeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Europe-Africa,1 - Mayorista,D - Imagen, Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,E - Volumen, Pairs Demanded (000s),1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,E - Volumen,   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Europe-Africa,1 - Mayorista,E - Volumen, Pairs Sold (000s)_1 - Mayorista,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,0.0,0.0
10,Europe-Africa,1 - Mayorista,F - Cuota, Market Share (%)_1 - Mayorista,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,Europe-Africa,2 - Internet,A - Precio, Retail Price ($ per pair),72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,0.0
10,Europe-Africa,2 - Internet,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,Europe-Africa,2 - Internet,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Europe-Africa,2 - Internet,C - Marketing, Free Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Europe-Africa,2 - Internet,D - Imagen, Search Engine Advert. ($000s),4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,0.0,0.0
10,Europe-Africa,2 - Internet,D - Imagen, Brand Advertising ($000s),9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,0.0,0.0
10,Europe-Africa,2 - Internet,D - Imagen, Celebrity Appeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Europe-Africa,2 - Internet,D - Imagen, Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
10,Europe-Africa,2 - Internet,E - Volumen, Online Orders (000s),300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0
10,Europe-Africa,2 - Internet,E - Volumen, Pairs Sold (000s)_2 - Internet,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0
10,Europe-Africa,2 - Internet,F - Cuota, Market Share (%)_2 - Internet,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,Europe-Africa,3 - Privada,A - Precio, Offer Price (max = $40.00),37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0
10,Europe-Africa,3 - Privada,B - Calidad, S/Q Rating (min = 3.0 stars),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
10,Europe-Africa,3 - Privada,E - Volumen, Pairs Offered (000s),200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Europe-Africa,3 - Privada,E - Volumen, Pairs Sold (000s)_3 - Privada,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Europe-Africa,3 - Privada,F - Cuota, Market Share (%)_3 - Privada,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,A - Precio, Wholesale Price ($ per pair),48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,A - Precio, Rebate Offer ($ per pair),5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,C - Marketing, Delivery Time (weeks),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,C - Marketing, Retailer Support ($ per outlet),2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,2750.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,C - Marketing, Retail Outlets,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,D - Imagen, Brand Advertising ($000s),8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,D - Imagen, Celebrity Appeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Asia-Pacifc,1 - Mayorista,D - Imagen, Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,E - Volumen, Pairs Demanded (000s),1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,E - Volumen,   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Asia-Pacifc,1 - Mayorista,E - Volumen, Pairs Sold (000s)_1 - Mayorista,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,1275.0,0.0,0.0
10,Asia-Pacifc,1 - Mayorista,F - Cuota, Market Share (%)_1 - Mayorista,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
10,Asia-Pacifc,2 - Internet,A - Precio, Retail Price ($ per pair),67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0
10,Asia-Pacifc,2 - Internet,B - Calidad, S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
10,Asia-Pacifc,2 - Internet,B - Calidad, Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
10,Asia-Pacifc,2 - Internet,C - Marketing, Free Shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
