Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
2011,North America,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),108625.0,80080.0,93807.0,124503.0,119808.0,105364.6,100580.0,23923.0,0.23785046728971962
2011,North America,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),5.0,4.0,0.0,6.0,5.0,4.0,3.5,2.5,0.7142857142857143
2011,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),55.0,55.0,63.0,47.0,48.0,53.6,55.25,-8.25,-0.1493212669683258
2011,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),60.0,59.0,63.0,53.0,53.0,57.6,58.75,-5.75,-0.09787234042553192
2011,North America,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),4.0,22.0,22.0,39.0,-87.0,0.0,-9.75,48.75,-5.0
2011,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1971.0,1434.0,1467.0,2610.0,2583.0,2013.0,1863.75,746.25,0.40040241448692154
2011,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1975.0,1456.0,1489.0,2649.0,2496.0,2013.0,1854.0,795.0,0.42880258899676377
2011,North America,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.1962,0.1447,0.1479,0.2632,0.248,0.2,0.1842,0.07899999999999999,0.42888165038002163
2011,North America,1 - Mayorista,e - Calidad,1 - e - Model Availability,151.4,150.4,200.0,200.0,248.8,190.11999999999998,187.65,12.349999999999994,0.0658140154543032
2011,North America,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),5.0,5.5,5.7,5.2,5.9,5.459999999999999,5.525,-0.3250000000000002,-0.05882352941176473
2011,North America,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2011,North America,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2011,North America,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),7000.0,4000.0,4500.0,6000.0,6000.0,5500.0,5375.0,625.0,0.11627906976744186
2011,North America,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),18000.0,10500.0,12000.0,15000.0,11000.0,13300.0,12875.0,2125.0,0.1650485436893204
2011,North America,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
