,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


INTERNET, Retail Price ($ per pair), , 85, 89, 88, 85, 74, 0, 0, 0, 0, 0, 0, 0, 84.2, , 85, 89, 88, 90.94, 77.5, 0, 0, 0, 0, 0, 0, 0, 86.09, , 84, 89, 88, 85, 73, 0, 0, 0, 0, 0, 0, 0, 83.8, , 84, 89, 88, 92.74, 77.5, 0, 0, 0, 0, 0, 0, 0, 86.25, , 
  SEGMENT, Search Engine Advert. ($000s), , 10000, 5500, 8000, 7500, 5000, 0, 0, 0, 0, 0, 0, 0, 7200, , 8000, 5000, 6000, 4000, 4500, 0, 0, 0, 0, 0, 0, 0, 5500, , 6000, 3000, 4500, 6000, 4000, 0, 0, 0, 0, 0, 0, 0, 4700, , 4000, 1000, 4500, 6000, 4000, 0, 0, 0, 0, 0, 0, 0, 3900, , 
, Free Shipping, , 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, , 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, , 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, S/Q Rating (1 to 10 stars), , 5, 5.5, 5.7, 5.2, 5.9, 0, 0, 0, 0, 0, 0, 0, 5.5, , 4.2, 5, 5.6, 4.7, 5.5, 0, 0, 0, 0, 0, 0, 0, 5, , 4.2, 5, 5.6, 4.7, 5.6, 0, 0, 0, 0, 0, 0, 0, 5, , 4.9, 5.5, 5.7, 5.2, 5.9, 0, 0, 0, 0, 0, 0, 0, 5.4, , 
, Model Availability, , 151.4, 150.4, 200, 200, 248.8, 0, 0, 0, 0, 0, 0, 0, 190, , 200, 150.3, 200, 151.4, 200, 0, 0, 0, 0, 0, 0, 0, 180, , 200, 150.4, 200, 151.1, 200, 0, 0, 0, 0, 0, 0, 0, 180, , 158, 151.1, 200, 200, 243.9, 0, 0, 0, 0, 0, 0, 0, 191, , 
, Brand Advertising ($000s), , 18000, 10500, 12000, 15000, 11000, 0, 0, 0, 0, 0, 0, 0, 13300, , 18000, 9500, 11000, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 11700, , 16000, 3000, 9000, 12000, 9000, 0, 0, 0, 0, 0, 0, 0, 9800, , 16000, 5000, 7500, 10000, 8500, 0, 0, 0, 0, 0, 0, 0, 9400, , 
, Celebrity Appeal, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
